prompt,response
Does Vesta Equity Provide Loans?,"There is no lending on Vesta Equity. Property owners can list a portion of equity they want to sell by setting a percentage and a desired amount that accredited investors can negotiate and purchase. Once the transaction is approved by Vesta Equity, the investor fully owns the equity they’ve purchased and the property owner receives the negotiated funds. These funds belong to the property owner who can use them at their own discretion."
How does a homeowner cancel the Equity Sharing Agreement?,"The Equity Sharing Agreement between a homeowner, investors, and Vesta Equity usually ends when the homeowner decides to sell the property. This allows the homeowner to maintain ownership and residential rights to the property for as long as it makes sense to, and move on naturally when they're ready. A homeowner, however, might want to end the agreement without selling the property. In this case they can repay the better of 1) the value of the investment or 2) a minimum investor return as designated in the Equity Sharing Agreement. Once the investment is repaid, Vesta Equity will handle the required closing and confirm the end of the contract."
Who retains residential rights?,The property owner always retains residential rights and this is embedded in the smart contracts that both property owner and investor agree to. An investor has no rights to use or occupy the property in any manner whatsoever.
Is my money safe on Vesta Equity?,"All users are fully verified by the same industry-grade KYC/AML processes that banks and traditional financial institutions use. Digital wallets are fully custodied, which acts like having a safety deposit box in a bank vault, and funds used for transactions are peer-to-peer, going directly from the investor’s wallet to the property owner’s. Properties themselves are verified using data that originates from land title registries with a suite of leading property data services to validate their market values. Finally, Vesta Equity is added onto every property’s insurance policy to protect investors’ interests against insurable events."
Can I trust Vesta Equity?,"Vesta Equity was founded on the principles of transparency and disintermediation to help property owners realize the value in their property equity. We allow property owners to negotiate and transact directly with accredited investors who want to manage which properties they invest their money. So how do we make money? Vesta Equity’s fee structure is simple. We set a one-time, flat closing fee. With our solution, there are no monthly payments, accruing interest, or penalties."
What is tokenization and how does this apply to real estate?,"Tokenization is simply a secure process of storing economic value in a digital record, or token. Tokenizing a physical asset, such as a property, allows it to be made divisible and subsequently issued as digital tokens. These tokens are then recorded and transacted over a blockchain while still being represented by the underlying property."
What is blockchain and does Vesta Equity’s marketplace run on it?,"Blockchain is a powerful and revolutionary technology that allows digital records (data) to be made in a decentralized manner across a network (distributed ledger) and verified through consensus by multiple sources on the network. This prevents independent data warehouses from storing, manipulating, and creating monopolies over data for economic benefit. A very common type of data is a financial transaction, and on a blockchain this can be made using a digital token or a cryptocurrency. By using blockchain technology, Vesta Equity’s marketplace ensures that all transactions are fully auditable, immutable, and much quicker compared to traditional methods of transferring funds."
"What is a cryptocurrency, does Vesta Equity’s marketplace use them, and do I need to sign up for it?","A cryptocurrency is a digital currency with its own economic value that can be used for transactions over a blockchain or traded over exchanges. There are many different cryptocurrencies with a wide range of applications, and the most well-known examples are Bitcoin and Ethereum. Vesta Equity’s marketplace makes use of USD Coin (USDC), a type of cryptocurrency called a stablecoin which is pegged one to one (1:1) with the United States dollar. This means that one USD Coin will always be equivalent to one US dollar, making it an ideal currency to transact in. When money is moved into your wallet it is converted into USDC, and likewise, when money is moved out of your wallet it can be converted into US dollars or a fiat currency equivalent based on exchange rates. You do not need to sign up for USDC and your wallet enables you to transact in it automatically. In your user settings, you can express the currency you see on the platform as either US dollars or USDC."
Can I transact my equity assets outside of Vesta Equity’s marketplace?,"Equity assets purchased on Vesta Equity cannot be transacted outside of the marketplace. To convert equity, a liquidity event must occur which means that you must sell the equity proactively to other investors or it could be purchased through a property owner buyback term associated with the equity. Alternatively, the property itself could be sold in its entirety. In these scenarios you would receive the equivalent cash value and could reinvest in other properties or exit some of the proceeds from the sale event."
What is Circle?,"Founded in 2013, Circle is a global payments solution and stablecoin issuer based in Boston, MA. Circle enables businesses and individuals to conduct financial transactions on the blockchain because its faster, safer, and more efficient than traditional payment systems. The stablecoins issued by circle are built to a higher standard. That's why USD Coin (USDC) is always redeemable 1:1 for U.S. dollars. To increase transparency, Circle publicly discloses its reserve assets on a monthly basis. Investors in Circle include BlackRock, Inc., Fidelity Management and Research, and Goldman Sachs. In February of 2022, Circle formalized plans to go public at an estimated valuation of $9 billion. Circle's stablecoin, USDC is available on multiple blockchains, including Algorand which powers the Vesta Property Marketplace."
